id,name_ja,name_en,rarity,price,type,description,image_rel,locations
image_001ccf9d,,,,,,,items/image_001ccf9d.png,
image_01d37766,,,,,,,items/image_01d37766.png,
image_0583bd09,,,,,,,items/image_0583bd09.png,
image_05c70b05,,,,,,,items/image_05c70b05.png,
image_0656105d,,,,,,,items/image_0656105d.png,
image_0727b7f7,,,,,,,items/image_0727b7f7.png,
image_07c69daa,,,,,,,items/image_07c69daa.png,
image_0a6ca591,,,,,,,items/image_0a6ca591.png,
image_0d106a6c,,,,,,,items/image_0d106a6c.png,
image_0e694c45,,,,,,,items/image_0e694c45.png,
image_0e911767,,,,,,,items/image_0e911767.png,
image_0ea138c2,,,,,,,items/image_0ea138c2.png,
image_108f64f1,,,,,,,items/image_108f64f1.png,
image_11911f0e,,,,,,,items/image_11911f0e.png,
image_12d54e6c,,,,,,,items/image_12d54e6c.png,
image_13c0b192,,,,,,,items/image_13c0b192.png,
image_14c62b5b,,,,,,,items/image_14c62b5b.png,
image_15119ec9,,,,,,,items/image_15119ec9.png,
image_1519af44,,,,,,,items/image_1519af44.png,
image_15928417,,,,,,,items/image_15928417.png,
image_159c3e69,,,,,,,items/image_159c3e69.png,
image_161887f4,,,,,,,items/image_161887f4.png,
image_16a6f668,,,,,,,items/image_16a6f668.png,
image_16de2b4e,,,,,,,items/image_16de2b4e.png,
image_19a7ee16,,,,,,,items/image_19a7ee16.png,
image_1a2145cc,,,,,,,items/image_1a2145cc.png,
image_1a2c66af,,,,,,,items/image_1a2c66af.png,
image_1be57d3d,,,,,,,items/image_1be57d3d.png,
image_1c8ba500,,,,,,,items/image_1c8ba500.png,
image_1ca396d3,,,,,,,items/image_1ca396d3.png,
image_1d7367b6,,,,,,,items/image_1d7367b6.png,
image_1e8ecea8,,,,,,,items/image_1e8ecea8.png,
image_1eb4ca35,,,,,,,items/image_1eb4ca35.png,
image_1ebebd69,,,,,,,items/image_1ebebd69.png,
image_1edfafb8,,,,,,,items/image_1edfafb8.png,
image_1ee4e937,,,,,,,items/image_1ee4e937.png,
image_1fa6b6fb,,,,,,,items/image_1fa6b6fb.png,
image_20b762ca,,,,,,,items/image_20b762ca.png,
image_21114941,,,,,,,items/image_21114941.png,
image_217a4b38,,,,,,,items/image_217a4b38.png,
image_23df6eae,,,,,,,items/image_23df6eae.png,
image_25296bc3,,,,,,,items/image_25296bc3.png,
image_2632c416,,,,,,,items/image_2632c416.png,
image_26b2c24b,,,,,,,items/image_26b2c24b.png,
image_27536e07,,,,,,,items/image_27536e07.png,
image_27bf3c57,,,,,,,items/image_27bf3c57.png,
image_286a0b78,,,,,,,items/image_286a0b78.png,
image_2a1ce0fd,,,,,,,items/image_2a1ce0fd.png,
image_2bccd52e,,,,,,,items/image_2bccd52e.png,
image_2c190252,,,,,,,items/image_2c190252.png,
image_2c248ba3,,,,,,,items/image_2c248ba3.png,
image_2ea40597,,,,,,,items/image_2ea40597.png,
image_2f8071f7,,,,,,,items/image_2f8071f7.png,
image_30d95c8d,,,,,,,items/image_30d95c8d.png,
image_3100e2fb,,,,,,,items/image_3100e2fb.png,
image_332fed7a,,,,,,,items/image_332fed7a.png,
image_33f05c86,,,,,,,items/image_33f05c86.png,
image_344298d7,,,,,,,items/image_344298d7.png,
image_34ec75a3,,,,,,,items/image_34ec75a3.png,
image_3506f101,,,,,,,items/image_3506f101.png,
image_358f643d,,,,,,,items/image_358f643d.png,
image_37058094,,,,,,,items/image_37058094.png,
image_378b95c4,,,,,,,items/image_378b95c4.png,
image_3a9923ec,,,,,,,items/image_3a9923ec.png,
image_3ac5a21e,,,,,,,items/image_3ac5a21e.png,
image_3cd2bcdb,,,,,,,items/image_3cd2bcdb.png,
image_3f275057,,,,,,,items/image_3f275057.png,
image_3fb46160,,,,,,,items/image_3fb46160.png,
image_400c4f72,,,,,,,items/image_400c4f72.png,
image_42df167a,,,,,,,items/image_42df167a.png,
image_452cd3e8,,,,,,,items/image_452cd3e8.png,
image_46dbd013,,,,,,,items/image_46dbd013.png,
image_4755fca6,,,,,,,items/image_4755fca6.png,
image_48d33b28,,,,,,,items/image_48d33b28.png,
image_49faa36c,,,,,,,items/image_49faa36c.png,
image_4a2cb8b9,,,,,,,items/image_4a2cb8b9.png,
image_4a501443,,,,,,,items/image_4a501443.png,
image_4ae86aa3,,,,,,,items/image_4ae86aa3.png,
image_4be7ddc5,,,,,,,items/image_4be7ddc5.png,
image_4c554526,,,,,,,items/image_4c554526.png,
image_4c84ad27,,,,,,,items/image_4c84ad27.png,
image_4cb0dcff,,,,,,,items/image_4cb0dcff.png,
image_4d904f09,,,,,,,items/image_4d904f09.png,
image_4da802ff,,,,,,,items/image_4da802ff.png,
image_4dd3546e,,,,,,,items/image_4dd3546e.png,
image_4ec90037,,,,,,,items/image_4ec90037.png,
image_4ed3ae41,,,,,,,items/image_4ed3ae41.png,
image_4f1e38e5,,,,,,,items/image_4f1e38e5.png,
image_4f7adfe1,,,,,,,items/image_4f7adfe1.png,
image_508d34a0,,,,,,,items/image_508d34a0.png,
image_50ac8be0,,,,,,,items/image_50ac8be0.png,
image_51afb841,,,,,,,items/image_51afb841.png,
image_54c3e1ee,,,,,,,items/image_54c3e1ee.png,
image_56bc63b2,,,,,,,items/image_56bc63b2.png,
image_56ccbc46,,,,,,,items/image_56ccbc46.png,
image_5865332d,,,,,,,items/image_5865332d.png,
image_58a603b0,,,,,,,items/image_58a603b0.png,
image_5a6965b2,,,,,,,items/image_5a6965b2.png,
image_5ba69fa6,,,,,,,items/image_5ba69fa6.png,
image_5c830701,,,,,,,items/image_5c830701.png,
image_5db3134a,,,,,,,items/image_5db3134a.png,
